Timestamp,Machine_ID,Machine_Type,Temperature,Pressure,RPM,Vibration,Voltage,Current,Humidity,Operating_Hours,Remaining_Useful_Life,Failure_Label
2025-07-04 14:59:00,1,cnc,65.21,2.28,5247.65,2.42,381.1,19.79,39.0,1368.64,1585.36,0
2025-07-04 14:59:00,2,robotic_arm,62.43,1.31,52.65,1.64,36.5,11.61,46.89,4281.38,1928.62,0
2025-07-04 14:59:00,3,pump,64.29,153.88,2744.41,4.43,422.08,21.81,44.13,976.62,1527.38,0
2025-07-04 14:59:00,4,cnc,51.94,2.18,5760.93,1.04,386.96,17.96,45.8,3952.05,421.95,0
2025-07-04 14:59:00,5,robotic_arm,62.42,1.26,111.5,2.2,34.79,2.95,37.42,1279.12,2680.88,0
2025-07-04 14:59:00,6,pump,69.97,154.61,1639.55,4.24,430.63,37.35,61.22,2943.34,1504.66,0
2025-07-04 14:59:00,7,cnc,44.44,1.77,4242.6,2.78,383.88,14.15,34.03,1694.53,748.47,0
2025-07-04 14:59:00,8,robotic_arm,46.64,1.19,89.55,0.78,38.51,7.4,34.06,4628.14,2588.86,0
2025-07-04 14:59:00,9,pump,66.95,171.17,2608.75,4.5,423.65,17.43,51.41,985.3,1370.7,0
2025-07-04 14:59:00,10,cnc,51.66,3.65,5946.07,1.31,392.47,20.7,35.44,2555.76,1266.24,0
2025-07-04 14:59:00,11,robotic_arm,30.02,1.05,50.48,0.83,36.82,6.85,43.85,3244.27,851.73,0
2025-07-04 14:59:00,12,pump,50.99,86.93,1550.02,4.23,432.31,16.49,46.35,1775.94,1122.06,0
2025-07-04 14:59:00,13,cnc,62.85,3.14,4888.52,3.49,389.34,21.67,38.22,3710.86,937.14,0
2025-07-04 14:59:00,14,robotic_arm,42.08,1.24,88.07,1.56,34.75,7.53,41.85,3396.12,2505.88,0
2025-07-04 14:59:00,15,pump,56.63,98.75,2485.02,3.88,478.67,24.17,60.41,2943.28,891.72,0
2025-07-04 14:59:00,16,cnc,41.03,2.52,8174.88,3.15,391.41,11.08,44.22,2571.79,530.21,0
2025-07-04 14:59:00,17,robotic_arm,42.2,0.87,114.05,1.3,36.43,10.38,43.51,3122.83,1652.17,0
2025-07-04 14:59:00,18,pump,49.41,146.63,2313.26,2.91,414.0,37.59,52.92,1988.57,1740.43,0
2025-07-04 14:59:00,19,cnc,97.7,3.9,7349.76,6.82,386.6,18.33,44.01,1283.91,325.09,0
2025-07-04 14:59:00,20,robotic_arm,59.78,1.45,98.53,1.84,37.94,5.72,48.8,3663.11,2243.89,0
2025-07-05 02:59:00,1,cnc,46.36,1.92,6913.68,2.12,414.81,10.46,30.36,1380.05,1573.95,0
2025-07-05 02:59:00,2,robotic_arm,36.26,1.06,94.42,1.94,31.39,7.43,40.18,4291.11,1918.89,0
2025-07-05 02:59:00,3,pump,51.27,154.38,2766.23,3.95,472.49,24.99,48.75,986.84,1517.16,0
2025-07-05 02:59:00,4,cnc,61.76,3.59,5381.11,2.25,400.02,18.76,30.87,3962.31,411.69,0
2025-07-05 02:59:00,5,robotic_arm,46.45,1.0,108.35,2.0,46.87,5.31,41.06,1290.6,2669.4,0
2025-07-05 02:59:00,6,pump,84.11,72.06,1689.12,2.76,421.48,26.16,49.32,2953.34,1494.66,0
2025-07-05 02:59:00,7,cnc,68.77,3.79,4422.5,1.52,403.49,13.02,35.08,1703.91,739.09,0
2025-07-05 02:59:00,8,robotic_arm,41.29,1.39,33.66,1.92,37.27,4.97,38.4,4637.17,2579.83,0
2025-07-05 02:59:00,9,pump,67.52,73.06,1208.3,4.51,415.54,16.63,49.92,994.2,1361.8,0
2025-07-05 02:59:00,10,cnc,70.46,1.08,7473.19,2.1,403.52,12.59,33.1,2563.94,1258.06,0
2025-07-05 02:59:00,11,robotic_arm,59.36,1.4,45.03,0.58,31.28,7.37,36.53,3255.7,840.3,0
2025-07-05 02:59:00,12,pump,52.22,214.44,1931.62,5.37,415.55,24.46,57.49,1786.84,1111.16,0
2025-07-05 02:59:00,13,cnc,40.31,3.91,8287.57,1.1,393.96,14.07,44.88,3719.35,928.65,0
2025-07-05 02:59:00,14,robotic_arm,36.45,0.86,62.83,1.88,25.4,11.15,38.85,3404.99,2497.01,0
2025-07-05 02:59:00,15,pump,44.22,89.26,2695.38,4.55,441.34,30.11,50.89,2952.12,882.88,0
2025-07-05 02:59:00,16,cnc,36.91,2.7,4951.88,1.3,391.97,9.29,31.88,2582.35,519.65,0
2025-07-05 02:59:00,17,robotic_arm,64.28,0.92,21.72,2.03,43.37,5.46,39.29,3131.92,1643.08,0
2025-07-05 02:59:00,18,pump,42.16,211.86,2618.69,3.04,401.22,36.47,52.53,1998.85,1730.15,0
2025-07-05 02:59:00,19,cnc,80.96,2.85,9663.35,6.55,410.35,21.68,46.02,1293.8,315.2,0
2025-07-05 02:59:00,20,robotic_arm,58.72,1.24,102.04,1.8,28.96,4.74,34.29,3673.95,2233.05,0
2025-07-05 14:59:00,1,cnc,36.56,2.85,6019.33,2.64,393.49,17.54,36.81,1389.37,1564.63,0
2025-07-05 14:59:00,2,robotic_arm,47.36,1.29,54.83,2.37,24.94,6.18,49.35,4300.02,1909.98,0
2025-07-05 14:59:00,3,pump,59.06,150.96,2121.48,4.93,410.22,20.75,54.51,996.76,1507.24,0
2025-07-05 14:59:00,4,cnc,57.47,1.72,8079.07,2.85,388.34,13.29,40.69,3973.35,400.65,0
2025-07-05 14:59:00,5,robotic_arm,43.64,1.01,30.0,0.61,47.0,10.47,37.1,1300.34,2659.66,0
2025-07-05 14:59:00,6,pump,70.45,137.2,1988.84,2.33,407.34,28.86,53.84,2964.69,1483.31,0
2025-07-05 14:59:00,7,cnc,72.85,3.34,4680.79,3.33,414.1,21.94,31.12,1712.65,730.35,0
2025-07-05 14:59:00,8,robotic_arm,49.11,1.29,116.87,1.88,44.09,10.67,46.77,4647.75,2569.25,0
2025-07-05 14:59:00,9,pump,50.02,123.46,2627.04,2.59,441.07,20.36,54.53,1003.69,1352.31,0
2025-07-05 14:59:00,10,cnc,70.21,1.71,9446.16,2.48,392.26,17.91,39.63,2574.96,1247.04,0
2025-07-05 14:59:00,11,robotic_arm,54.68,0.97,53.03,1.37,30.09,6.05,41.43,3265.03,830.97,0
2025-07-05 14:59:00,12,pump,74.52,191.65,2390.74,4.72,419.0,24.21,51.94,1797.43,1100.57,0
2025-07-05 14:59:00,13,cnc,56.13,2.31,8812.66,3.44,399.46,12.52,30.87,3727.64,920.36,0
2025-07-05 14:59:00,14,robotic_arm,62.17,0.98,89.54,0.65,27.99,4.17,35.89,3416.23,2485.77,0
2025-07-05 14:59:00,15,pump,71.36,121.47,2379.36,5.66,476.7,16.33,49.86,2963.61,871.39,0
2025-07-05 14:59:00,16,cnc,48.43,1.51,7881.09,1.97,388.03,11.72,37.21,2590.72,511.28,0
2025-07-05 14:59:00,17,robotic_arm,45.86,0.82,47.98,1.32,38.47,4.71,32.66,3140.83,1634.17,0
2025-07-05 14:59:00,18,pump,82.32,126.66,2129.86,5.68,406.62,35.16,53.79,2007.11,1721.89,0
2025-07-05 14:59:00,19,cnc,69.99,3.33,6882.22,7.04,393.19,22.88,37.86,1302.38,306.62,0
2025-07-05 14:59:00,20,robotic_arm,34.68,0.81,27.54,1.88,36.82,9.5,48.26,3682.08,2224.92,0
2025-07-06 02:59:00,1,cnc,64.04,3.27,6267.1,1.6,387.18,11.52,35.49,1399.41,1554.59,0
2025-07-06 02:59:00,2,robotic_arm,60.74,1.33,24.69,1.04,24.53,6.98,39.52,4308.75,1901.25,0
2025-07-06 02:59:00,3,pump,53.85,190.62,2748.76,2.35,463.35,28.57,52.0,1007.67,1496.33,0
2025-07-06 02:59:00,4,cnc,66.39,2.92,8830.27,3.26,401.6,21.73,42.16,3982.82,391.18,0
2025-07-06 02:59:00,5,robotic_arm,49.42,0.86,92.64,1.59,34.82,11.1,35.96,1310.57,2649.43,0
2025-07-06 02:59:00,6,pump,71.39,187.44,1934.95,5.37,461.51,16.52,41.15,2974.53,1473.47,0
2025-07-06 02:59:00,7,cnc,48.9,1.63,7477.9,1.85,398.8,14.44,41.7,1722.82,720.18,0
2025-07-06 02:59:00,8,robotic_arm,54.42,0.93,89.65,1.32,44.98,7.15,49.46,4657.15,2559.85,0
2025-07-06 02:59:00,9,pump,50.07,191.49,1752.13,3.39,402.54,27.62,53.36,1013.79,1342.21,0
2025-07-06 02:59:00,10,cnc,70.77,1.39,5980.6,1.8,383.23,14.74,43.76,2584.21,1237.79,0
